,Link,title,company,salary,date,location
150,https://www.indeed.com/rc/clk?jk=018cd47d95cfd77b&fccid=49d86eba2fe6034f&vjs=3,Data Scientist,HotSchedules,N/A,29 days ago,"Sofia, NM"
151,https://www.indeed.com/rc/clk?jk=19a7cb1fc735c54e&fccid=cd22d01053af7669&vjs=3,Senior Data Scientist,Oracle,N/A,1 day ago,"Austin, TX 78741 (Riverside area)"
152,https://www.indeed.com/rc/clk?jk=0c53f3aa118ac317&fccid=9f156dd45bd33047&vjs=3,Product Data Scientist,Curai,N/A,30+ days ago,"Palo Alto, CA"
153,https://www.indeed.com/rc/clk?jk=5df4f19a4abba7a9&fccid=a5b4499d9e91a5c6&vjs=3,"Data Scientist, Operations Data Science",Google,N/A,30+ days ago,"Mountain View, CA"
154,https://www.indeed.com/rc/clk?jk=d8b0a845c30336d1&fccid=2ae04b97d8829e58&vjs=3,Sr. Data Scientist,FedEx Services,N/A,4 days ago,"Colorado Springs, CO"
155,https://www.indeed.com/rc/clk?jk=5ae49e50952c4a31&fccid=1639254ea84748b5&vjs=3,"Data Scientist, Analytics – Instagram Product Performance",Facebook,N/A,30+ days ago,Remote
156,https://www.indeed.com/rc/clk?jk=9db0ed7a9d138286&fccid=fefd75f5326e1589&vjs=3,Media Audience Data Scientist,WALGREENS,N/A,30+ days ago,"Deerfield, IL 60015"
157,https://www.indeed.com/rc/clk?jk=d6f3ee883f1ed023&fccid=0f6a89c0b7a9c4b7&vjs=3,Data Scientist,winningtemp,N/A,30+ days ago,Remote
158,https://www.indeed.com/rc/clk?jk=a45cb3184c1c8fe9&fccid=8667fa2e3d7bb780&vjs=3,Data Scientist,"OneAmerica Financial Partners, Inc",N/A,12 days ago,"Indianapolis, IN 46282 (Downtown area)"
159,https://www.indeed.com/rc/clk?jk=cad97d304559bef1&fccid=7136762d065a5ad7&vjs=3,Data Scientist,Autodesk,N/A,10 days ago,"Denver, CO"
160,https://www.indeed.com/rc/clk?jk=136338bf1bdf6264&fccid=22d99361dca0507f&vjs=3,Data Scientist,Cedars-Sinai,N/A,30+ days ago,"Los Angeles, CA"
161,"https://www.indeed.com/company/Press-Ganey-Associates,-Inc./jobs/Data-Science-Linguist-5d62fe8d5a2512ab?fccid=381fad78e933959b&vjs=3",Data Science Linguist,"Press Ganey Associates, Inc.",N/A,Today,Remote
162,https://www.indeed.com/rc/clk?jk=55cb4c86f024a7d7&fccid=7fa3894508ada0ed&vjs=3,Data Scientist,Amrock,N/A,25 days ago,"Detroit, MI 48226 (Downtown area)"
163,https://www.indeed.com/rc/clk?jk=c14d0ebb0b2795cd&fccid=1b567d66763b30ee&vjs=3,Data Scientist,Pegasystems,N/A,7 days ago,Alabama
164,https://www.indeed.com/rc/clk?jk=c7e07521e42bce01&fccid=dfe7b93cbcc33bf4&vjs=3,Data Scientist,Edward-Elmhurst Health,N/A,30+ days ago,"Warrenville, IL 60555"
165,https://www.indeed.com/rc/clk?jk=2e1e9657b5a2f218&fccid=760d03f6c6eab030&vjs=3,Data Scientist,Cadent,N/A,30+ days ago,"Philadelphia, PA 19102 (City Center West area)"
166,https://www.indeed.com/rc/clk?jk=faa34465f93793ae&fccid=734cb5a01ee60f80&vjs=3,Data & Applied Scientist,Microsoft,N/A,30+ days ago,"Bellevue, WA"
167,https://www.indeed.com/rc/clk?jk=7bbf3095c2832383&fccid=e15d9e27876d9dc3&vjs=3,Intern: Data Science,Equinix,N/A,1 day ago,"Sunnyvale, CA"
168,https://www.indeed.com/rc/clk?jk=332f28613d19ef00&fccid=2dd390c3a48a7ed0&vjs=3,"Associate, Data Scientist NLP",KPMG,N/A,2 days ago,"Los Angeles, CA 90071 (Downtown area)"
169,https://www.indeed.com/rc/clk?jk=0e3e00189f353591&fccid=fe404d18bb9eef1e&vjs=3,Senior Data Scientist - Spotify for Artists (Remote Eligible...,Spotify,N/A,2 days ago,"New York, NY"
170,https://www.indeed.com/rc/clk?jk=be666a75179faac6&fccid=417b94bc1bee0c80&vjs=3,Data Scientist - Senior,Valiant Integrated Services,N/A,2 days ago,"McLean, VA 22101"
171,https://www.indeed.com/rc/clk?jk=f97a971b22c058fa&fccid=745cbfb7f662e21f&vjs=3,Data Scientist Intern - Summer 2021,Rock Central,N/A,2 days ago,"Detroit, MI 48226 (Downtown area)"
172,https://www.indeed.com/rc/clk?jk=8029ac29bf317310&fccid=dd09fe3b43125016&vjs=3,Data Scientist-AI/ML (Remote),Dell Technologies,N/A,9 days ago,"San Diego, CA"
